Dataset,Model,raw_feature_count,post_filter_feature_count,selected_feature_count,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std
PC3,ExtraTrees,37,16,14,0.4612805852354375,0.061253287451668,0.8323542539978264,0.03836179909995255,0.33321816617104694,0.04915627267430151,0.7541666666666667,0.09537935951882998,0.3956445142698117,0.08096603880862527
PC3,XGB,37,16,14,0.44816709466781,0.05834488822613863,0.8135712622263623,0.047334344022683196,0.31853778072782757,0.043154763740810974,0.7583333333333333,0.099128143778086,0.3817902655014421,0.08011634687790696
PC3,BalancedRF,37,16,14,0.4472597308144825,0.05729290145789449,0.8195929074160327,0.04350332589631965,0.31843681831486703,0.04147187221945332,0.7541666666666667,0.10573814617041269,0.38052457840651405,0.0795313947184786
PC3,LGBM,37,16,14,0.4254505319765231,0.04632210486312309,0.800328947368421,0.04376380073123734,0.29716588111114567,0.03729414519478022,0.7541666666666667,0.07383352144445564,0.35497185201876913,0.06281014891266273
PC3,LogReg,37,16,14,0.4084307177601411,0.04179744347201154,0.7975298219738137,0.04819374952446368,0.2769773162219971,0.03137943946380902,0.7833333333333333,0.07861650943380502,0.3403896157397264,0.05898358266077936
PC3,RF,37,16,14,0.42315595685988827,0.08815817055536498,0.8223677741551519,0.04389809651159728,0.34988310284862006,0.07476871428726052,0.5416666666666666,0.12430361575146916,0.3334855319890655,0.106422684850864
