Dataset,Model,raw_feature_count,post_filter_feature_count,selected_feature_count,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std
MC2,ExtraTrees,39,14,14,0.6544370444370443,0.1360533051689469,0.7384691358024693,0.1443375271706332,0.5884656084656085,0.14598741754924105,0.7644444444444446,0.1679800105685712,0.4515187362685449,0.2210412915779168
MC2,BalancedRF,39,14,14,0.6295149295149295,0.11218381240043035,0.7639259259259259,0.11480500157186872,0.5335449735449734,0.1045876844865384,0.7777777777777779,0.14487116456005888,0.39683376931853825,0.18468326821300202
MC2,LGBM,39,14,14,0.5673667073667074,0.14928653183227644,0.6985925925925928,0.11190254758254663,0.5843386243386244,0.16659571850115626,0.5955555555555555,0.2299328941288504,0.3668005549980282,0.20105899338379385
MC2,RF,39,14,14,0.5018374218374219,0.1555676846535662,0.7409382716049383,0.11727198379495325,0.6874603174603175,0.23435227256060692,0.43111111111111117,0.17361799986332985,0.35665753657686866,0.19614606618741373
MC2,XGB,39,14,14,0.5088071188071187,0.15818111384690947,0.7342716049382715,0.12710312981552058,0.6246031746031746,0.22649798089376955,0.46666666666666673,0.19360134679666224,0.32669170531800956,0.2172887965779696
MC2,LogReg,39,14,14,0.49492655492655496,0.10854279146479408,0.6695308641975309,0.09711931924391176,0.47407407407407415,0.1144673258160959,0.5488888888888889,0.1750625990331656,0.2073746506003087,0.16883392223584365
