Dataset,Model,raw_feature_count,post_filter_feature_count,selected_feature_count,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std
PC2,LGBM,36,12,12,0.22322714322714324,0.1432028922396988,0.887822187391153,0.08260422806778245,0.1366962666962667,0.08958464864691451,0.6333333333333333,0.38586123009300755,0.2624431041834842,0.19113924219631237
PC2,BalancedRF,36,12,12,0.18738563884478543,0.09227901116432737,0.8950322187391154,0.09212399349116439,0.10654699187980923,0.05364966655795709,0.8,0.3559026084010437,0.25436992330437225,0.1482909531908409
PC2,ExtraTrees,36,12,12,0.18492692492692492,0.13188192694153097,0.8675983977708114,0.0968126383893788,0.12412531912531911,0.09751369487924104,0.43333333333333335,0.30912061651652345,0.19417985849556538,0.15988974325387859
PC2,LogReg,36,12,12,0.14042650673287366,0.07945590779812411,0.7591736328805294,0.1754551241995387,0.07985528489398458,0.04571591189027338,0.6,0.32659863237109044,0.17315661453855868,0.13301397282425792
PC2,XGB,36,12,12,0.16974025974025972,0.1838577319518295,0.8877307558342041,0.12310159569631103,0.11740740740740739,0.13003428903074427,0.3333333333333333,0.34960294939005054,0.1676004669675531,0.2131759535248002
PC2,RF,36,12,12,0.11015873015873016,0.17651935557444182,0.8738505747126439,0.1084866265717065,0.08388888888888889,0.14632746972138116,0.2,0.3055050463303894,0.0975142088911976,0.19847195985695942
