Dataset,Model,raw_feature_count,post_filter_feature_count,selected_feature_count,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std
PC4,XGB,37,19,15,0.6534107395804772,0.04699053512073631,0.943259862867706,0.01769326400044789,0.5432030392952395,0.05905945793633344,0.8285714285714287,0.05822577876095119,0.6132430064494411,0.05194739237468609
PC4,ExtraTrees,37,19,15,0.6548783407131176,0.08556938645797109,0.9391374058040725,0.02415647381968117,0.5823615108932128,0.09588839001599751,0.7575757575757575,0.09488982629317678,0.6080444782534059,0.09945230131674129
PC4,RF,37,19,15,0.6510943483953199,0.08112326716353639,0.9368407295578164,0.020773750177638543,0.5857921528611184,0.08567632751469442,0.7448773448773448,0.11413274850670835,0.6044652373182712,0.0947999815215696
PC4,LGBM,37,19,15,0.6306250590586018,0.03850794316418206,0.9334229314621472,0.01474221175940497,0.5093031885580939,0.046855543170726335,0.8349206349206352,0.055749927026549725,0.5900811929533701,0.04333186219282016
PC4,BalancedRF,37,19,15,0.5656521738232586,0.0314740504329632,0.9377836656548144,0.020751457467704855,0.4031434653353393,0.03153210693354582,0.9538239538239538,0.044229818539665525,0.545952433256451,0.03420480964490519
PC4,LogReg,37,19,15,0.5664439016398618,0.041787989856018365,0.917241374664344,0.019920488791298874,0.4262206583100385,0.04431668187112311,0.8533910533910534,0.05980958118419175,0.5265585275145482,0.04695276844292027
