Rank,Model,mcc_mean,f1_mean,Threshold,F1,Precision,Recall,AUC-ROC,MCC
1,RF,0.24863292007321527,0.411876466912209,0.6595125684646288,0.2684124386252046,0.5985401459854015,0.1729957805907173,0.6883554595039622,0.23626241089464703
2,BalancedRF,0.24276263908521173,0.43989594467743687,0.661881913709867,0.3342618384401114,0.4918032786885246,0.25316455696202533,0.6883014304826592,0.2317542984856294
3,ExtraTrees,0.24208387656495017,0.4089293700941559,0.5004500092033829,0.4551282051282051,0.461038961038961,0.44936708860759494,0.7016736132551199,0.3002805915477367
4,LogReg,0.23729473938041964,0.42848823203465486,0.5062048170675579,0.4274952919020716,0.38605442176870747,0.47890295358649787,0.6719910980755378,0.24086713988655012
5,LGBM,0.23093482351277184,0.4342826107512948,0.6788619381969335,0.33045977011494254,0.5180180180180181,0.24261603375527427,0.686178861788618,0.24130116916045694
6,XGB,0.2305365802824094,0.43505563631010474,0.5142657774704713,0.4440677966101695,0.37110481586402266,0.5527426160337553,0.6868651589996912,0.24938672092271863
