Model,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std
LogReg,0.42848823203465486,0.011579505840066305,0.6811000288264566,0.014316889387707725,0.37762823366105747,0.01185738861373164,0.49578947368421045,0.020296714179603954,0.23729473938041964,0.01590852183143949
RF,0.411876466912209,0.019297681598925014,0.6768828269562761,0.013130271512455204,0.4247095269783539,0.018623690873865624,0.40014084507042263,0.022934706742067386,0.24863292007321527,0.02333058367575306
XGB,0.43505563631010474,0.014237363861978262,0.68593545586263,0.012552731009937545,0.35048542782711173,0.011641243188841289,0.574553166954946,0.030952945058932715,0.2305365802824094,0.020160187911748707
LGBM,0.4342826107512948,0.01443697201967945,0.6813594678350372,0.01206208795899348,0.35336733281559113,0.013383719725031383,0.5644699777613046,0.029230286429491707,0.23093482351277184,0.020749681978820208
ExtraTrees,0.4089293700941559,0.020853339562070958,0.67971994342249,0.01552011888865917,0.4160629940237015,0.015500876433658543,0.4024750844246767,0.027673749224234597,0.24208387656495017,0.02271510637206108
BalancedRF,0.43989594467743687,0.016495632481882835,0.6860060207615946,0.012185719875865905,0.36613764503613716,0.015728120675561928,0.5520368997611399,0.02922074686744345,0.24276263908521173,0.02336902296375937
