Dataset,Model,raw_feature_count,post_filter_feature_count,selected_feature_count,f1_mean,f1_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std
MC1,XGB,38,19,15,0.4278528878528879,0.2176325029147822,0.8039308618223077,0.10029119865924721,0.4847619047619048,0.20861418710801094,0.4066666666666667,0.231644683209564,0.4250766533564826,0.2160747920453992
MC1,LGBM,38,19,15,0.41391534391534396,0.2325879587042192,0.7965765132455231,0.11200116803776239,0.49182539682539683,0.27189144140316235,0.3844444444444445,0.2452109195401551,0.41568218430019027,0.23555608656636226
MC1,RF,38,19,15,0.3300965700965701,0.21627191506912571,0.8195257181852563,0.11338359028777201,0.3346825396825397,0.20756154851578992,0.3466666666666667,0.24337138210896866,0.3196176088236968,0.22111785103717874
MC1,ExtraTrees,38,19,15,0.2698264698264698,0.2723552180507718,0.818435819643826,0.1153989936231735,0.295,0.30073674965423264,0.2577777777777778,0.2656833723080683,0.2618659107347837,0.2768887937567781
MC1,BalancedRF,38,19,15,0.16486198846398128,0.04356662162603998,0.8255250933188628,0.10157847734358173,0.09374478667402975,0.02544177164116667,0.7044444444444444,0.18811606608949613,0.2141866955943815,0.07122716291277192
MC1,LogReg,38,19,15,0.12934722271765553,0.044758028092995956,0.7469222452436156,0.14165131013664414,0.07329527746729493,0.025341515971559855,0.5666666666666668,0.2221110833194358,0.15545582726060753,0.07835880460150141
