comparison,variant,sampler,Model,Threshold,F1,Precision,Recall,AUC-ROC,MCC
selected_vs_all,selected_features,none,RF,0.5585755777185838,0.6013071895424836,0.5227272727272727,0.7076923076923077,0.8481361775479423,0.5242778799815218
selected_vs_all,all_post_filter_features,none,RF,0.5159678078438364,0.5730337078651685,0.45132743362831856,0.7846153846153846,0.8501185089420383,0.4980524622985045
smote_vs_no_smote,selected_features_no_smote,none,RF,0.5585755777185838,0.6013071895424836,0.5227272727272727,0.7076923076923077,0.8481361775479423,0.5242778799815218
smote_vs_no_smote,selected_features_with_smote,SMOTE,RF,0.5970132787767886,0.48854961832061067,0.48484848484848486,0.49230769230769234,0.8393449687567335,0.3946030655064465
