Model,mean_rank,mean_MCC,mean_F1,mean_AUC_ROC
BalancedRF,2.75,0.3389615860449051,0.4027603134269002,0.7703128132366044
LogReg,3.25,0.27122031470053537,0.3669619572148599,0.7513714302032016
XGB,3.4166666666666665,0.2836890684082091,0.37333799617162583,0.7638861906550635
RF,3.75,0.29447483262664065,0.3663118032467223,0.7769386487661061
ExtraTrees,3.75,0.2565331005065218,0.3514545025962601,0.784007745199082
LGBM,4.083333333333333,0.2921233163070706,0.3667502346722728,0.7661687051729825
