Model,individual_mean_F1,individual_mean_MCC,individual_mean_AUC_ROC,combined_baseline_F1,combined_baseline_MCC,combined_baseline_AUC_ROC,mean_delta_F1,mean_delta_MCC,mean_delta_AUC_ROC
BalancedRF,0.4027603134269002,0.3389615860449051,0.7703128132366044,0.3342618384401114,0.2317542984856294,0.6883014304826592,0.06849847498678882,0.10720728755927572,0.0820113827539451
RF,0.3663118032467223,0.29447483262664065,0.7769386487661061,0.2684124386252046,0.236262410894647,0.6883554595039622,0.0978993646215177,0.058212421731993653,0.088583189262144
LGBM,0.3667502346722728,0.2921233163070706,0.7661687051729825,0.3304597701149425,0.2413011691604569,0.686178861788618,0.036290464557330274,0.050822147146613685,0.0799898433843645
XGB,0.37333799617162583,0.2836890684082091,0.7638861906550635,0.4440677966101695,0.2493867209227186,0.6868651589996912,-0.07072980043854368,0.03430234748549053,0.07702103165537215
LogReg,0.3669619572148599,0.27122031470053537,0.7513714302032016,0.4274952919020716,0.2408671398865501,0.6719910980755378,-0.06053333468721167,0.030353174813985296,0.07938033212766377
ExtraTrees,0.3514545025962601,0.2565331005065218,0.784007745199082,0.4551282051282051,0.3002805915477367,0.7016736132551199,-0.10367370253194501,-0.04374749104121489,0.08233413194396218
